사업구분,상호,영업소소재지(도로명),영업소소재지(지번),영업소전화번호,기준일,위도,경도
서구,서대구터미널주유소,대구광역시 서구 북비산로 49 (이현동),730,053-527-5151,2024-06-07,35.8787823,128.5383486
서구,서대구IC주유소,대구광역시 서구 북비산로 48 (이현동),1477,053-566-0009,2024-06-07,35.87819126,128.538109
서구,(주)기분좋은주유소,대구광역시 서구 와룡로 420 (이현동),1407,053-563-2222,2024-06-07,35.87013725,128.5383312
서구,가나주유소,대구광역시 서구 와룡로 358 (중리동),1298,053-565-5770,2024-06-07,35.86441529,128.5378756
서구,조광주유소,대구광역시 서구 북비산로 36 (이현동),729,053-552-3900,2024-06-07,35.87824671,128.5369622
서구,평리동양주유소,대구광역시 서구 북비산로 241 (평리동),688,053-525-5995,2024-06-07,35.87952648,128.5597228
서구,신광주유소,대구광역시 서구 와룡로 349 (중리동),931,053-567-4771,2024-06-07,35.86389256,128.5371598
서구,영신주유소,대구광역시 서구 서대구로 210 (평리동),951.7,053-555-7450,2024-06-07,35.87665689,128.5553246
서구,천만에너지,대구광역시 서구 북비산로 154 (평리동),1376,053-561-5181,2024-06-07,35.87838719,128.5499479
서구,영신제2주유소,대구광역시 서구 서대구로 207 (평리동),1006,053-553-5511,2024-06-07,35.87656705,128.5545412
서구,이현IC주유소,대구광역시 서구 북비산로 183 (평리동),1967,053-564-1112,2024-06-07,35.87936597,128.5532289
서구,지민주유소,대구광역시 서구 북비산로 177 (평리동),1623,053-341-4500,2024-06-07,35.87932284,128.5524586
서구,서대구주유소,대구광역시 서구 북비산로 41 (이현동),1288,053-525-7277,2024-06-07,35.87887586,128.5373509
서구,지에스칼텍스(주) 달구벌대로주유소,대구광역시 서구 달구벌대로 1845 (내당동),1547,053-556-5151,2024-06-07,35.86105091,128.5662572
서구,광명주유소,대구광역시 서구 서대구로 201 (평리동),1102,053-555-5563,2024-06-07,35.87608846,128.554554
서구,광명2주유소,대구광역시 서구 서대구로 170 (평리동),1052,053-662-5182,2024-06-07,35.87309229,128.5552798
서구,신라주유소,대구광역시 서구 서대구로 105 (평리동),813,053-551-8113,2024-06-07,35.86736962,128.5549677
서구,행복제1주유소,대구광역시 서구 고성로 104 (원대동1가),934,053-356-1951,2024-06-07,35.88229453,128.5772122
서구,(주)대일종합에너지 서부지점 행복주유소,대구광역시 서구 국채보상로 122 (중리동),669,053-571-8251,2024-06-07,35.86856873,128.544321
서구,태화주유소,대구광역시 서구 평리로 260 (내당동),860,053-566-1778,2024-06-07,35.86248183,128.5518677
서구,합천주유소,대구광역시 서구 염색공단천로 78 (비산동),1147,053-356-1010,2024-06-07,35.88966424,128.5450202
서구,명조주유소,대구광역시 서구 평리로 156 (중리동),972,053-555-6688,2024-06-07,35.85879021,128.5414033
서구,꽉주유소,대구광역시 서구 국채보상로 317 (평리동),623,053-565-5186,2024-06-07,35.87229715,128.5657482
서구,e편한주유소,대구광역시 서구 평리로 317 (평리동),966,053-556-9942,2024-06-07,35.86418802,128.5579418
서구,㈜에스앤에스주유소,대구광역시 서구 달구벌대로 1833 (내당동),527,053-526-5558,2024-06-07,35.86089946,128.5653333
서구,평리주유소,대구광역시 서구 서대구로 227 (평리동),1238,053-526-2828,2024-06-07,35.8787019,128.5545303
서구,베스트오일(주)브라보주유소,대구광역시 서구 북비산로 95 (이현동),1160,053-551-8851,2024-06-07,35.87890573,128.5433825
서구,이현공단주유소,대구광역시 서구 국채보상로 181 (평리동),1067,053-565-0889,2024-06-07,35.87013404,128.5505521
서구,달서주유소,대구광역시 서구 달서천로 176 (평리동),532,053-352-4001,2024-06-07,35.88198725,128.5536793
서구,태양주유소,대구광역시 서구 국채보상로 372 (비산동),622,053-573-8303,2024-06-07,35.8719276,128.5716905
