시도,시군구,행정동,어린이집유형,어린이집명,전화번호,주소,위도,경도
대구광역시,수성구,고산3동,국공립,국공립대왕어린이집,053-791-3537,대구광역시 수성구 달구벌대로669길 70,35.83819042,128.7211566
대구광역시,수성구,고산3동,국공립,국공립사월보성어린이집,053-793-8806,대구광역시 수성구 욱수천로 133,35.83938876,128.7158123
대구광역시,수성구,고산3동,국공립,국공립시지3차서한이다음어린이집,053-795-3221,대구광역시 수성구 달구벌대로669길 20-20,35.83678775,128.7238206
대구광역시,수성구,고산3동,국공립,국공립아이위시어린이집,053-793-0101,대구광역시 수성구 달구벌대로669길 20,35.83551709,128.7231023
대구광역시,수성구,고산3동,국공립,국공립한신킨더리베어린이집,053-795-2772,대구광역시 수성구 달구벌대로669길 50,35.83707603,128.7225856
대구광역시,수성구,고산3동,사회복지법인,사회복지법인시지어린이집,053-792-7148,대구광역시 수성구 고산로 160-15,35.84478022,128.7077207
대구광역시,수성구,고산3동,사회복지법인,사회복지법인향뜰어린이집,053-792-2420,대구광역시 수성구 천을로 125,35.84416134,128.7042812
대구광역시,수성구,고산3동,사회복지법인,이안숲어린이집,053-794-2100,대구광역시 수성구 달구벌대로659길 2-8,35.83696188,128.7178516
대구광역시,수성구,고산3동,민간,동서어린이집,053-791-9315,대구광역시 수성구 천을로 180,35.84268095,128.709674
대구광역시,수성구,고산3동,민간,시지하나어린이집,053-287-0853,대구광역시 수성구 고산로 123,35.8418963,128.7046014
대구광역시,수성구,고산3동,가정,리틀태왕어린이집,053-791-1713,대구광역시 수성구 달구벌대로669길 70,35.83819042,128.7211566
대구광역시,수성구,고산3동,가정,초록색연필어린이집,053-794-1584,대구광역시 수성구 달구벌대로645길 15,35.84080348,128.7099346
대구광역시,수성구,고산3동,가정,효원어린이집,053-792-4002,대구광역시 수성구 욱수천로 133,35.83938876,128.7158123
대구광역시,수성구,두산동,국공립,국공립두산어린이집,053-761-9866,대구광역시 수성구 들안로16길 45,35.8383176,128.6175795
대구광역시,수성구,두산동,국공립,국공립수성레이크푸르지오어린이집,053-768-6621,대구광역시 수성구 청수로24길 91,35.83560429,128.6213338
대구광역시,수성구,두산동,국공립,국공립하늘어린이집,053-764-4777,대구광역시 수성구 무학로21안길 8-24,35.83183815,128.6203267
대구광역시,수성구,두산동,사회복지법인,모란어린이집,053-782-1600,대구광역시 수성구 지산로3길 115,35.82496966,128.626267
대구광역시,수성구,두산동,사회복지법인,사회복지법인 꿈나무 어린이집,053-763-5204,대구광역시 수성구 들안로2안길 27-15,35.83265436,128.6192732
대구광역시,수성구,두산동,사회복지법인,화니어린이집,053-766-8532,대구광역시 수성구 동대구로7길 14-14,35.83425519,128.6228122
대구광역시,수성구,두산동,가정,이레어린이집,053-292-9628,대구광역시 수성구 동대구로7길 34-13,35.83430817,128.6212843
대구광역시,수성구,만촌1동,국공립,국공립돌체어린이집,053-743-9181,대구광역시 수성구 동원로 135,35.87076371,128.6346705
대구광역시,수성구,만촌1동,국공립,국공립로떼어린이집,053-759-0807,대구광역시 수성구 동원로 123,35.86871718,128.6347302
대구광역시,수성구,만촌1동,국공립,국공립마더베어어린이집,053-756-7179,대구광역시 수성구 무열로39길 35-1,35.87305118,128.6461946
대구광역시,수성구,만촌1동,국공립,국공립만촌보성어린이집,053-751-1811,대구광역시 수성구 공경로 70,35.87443411,128.6428255
대구광역시,수성구,만촌1동,사회복지법인,보명어린이집,053-745-5602,대구광역시 수성구 무열로39길 16-14,35.87428649,128.6451744
대구광역시,수성구,만촌1동,민간,리틀아일랜드어린이집,053-745-6179,대구광역시 수성구 동원로 100,35.86840848,128.6386986
대구광역시,수성구,만촌1동,민간,메트로팔레스어린이집,053-754-5988,대구광역시 수성구 동원로 110,35.86895374,128.6381382
대구광역시,수성구,만촌1동,민간,수성애플트리어린이집,053-745-0418,대구광역시 수성구 화랑로2길 122,35.8675826,128.6371426
대구광역시,수성구,만촌1동,직장,무열대어린이집,053-753-1279,대구광역시 수성구 국채보상로 1019,35.86621023,128.6418996
대구광역시,수성구,만촌2동,국공립,국공립별나라어린이집,053-742-7872,대구광역시 수성구 국채보상로216길 105,35.86432804,128.6483163
대구광역시,수성구,만촌2동,사회복지법인,만촌어린이집,053-745-6262,대구광역시 수성구 만촌로14길 11-2,35.86591552,128.6440419
대구광역시,수성구,만촌2동,가정,다인어린이집,053-756-1888,대구광역시 수성구 충의로 62,35.86669791,128.6450291
대구광역시,수성구,만촌2동,가정,별그린어린이집,053-744-2673,대구광역시 수성구 세진로 75,35.86376271,128.6434361
대구광역시,수성구,만촌3동,국공립,국공립만촌3차파크드림어린이집,053-746-1125,대구광역시 수성구 교학로 13,35.85384968,128.6529446
대구광역시,수성구,만촌3동,국공립,국공립만촌삼정에듀파크어린이집,053-742-3535,대구광역시 수성구 교학로 65,35.84769788,128.6527594
대구광역시,수성구,만촌3동,국공립,국공립만촌자이르네어린이집,053-755-5312,대구광역시 수성구 교학로19길 19,35.84906119,128.6492666
대구광역시,수성구,만촌3동,사회복지법인,뉴대구어린이집,053-752-4024,대구광역시 수성구 교학로 54-1,35.85033779,128.6516271
대구광역시,수성구,만촌3동,민간,수성대학교부설 리오바어린이집,053-749-7312,대구광역시 수성구 달구벌대로528길 15,35.85525271,128.6496112
대구광역시,수성구,만촌3동,민간,예알어린이집,053-756-9318,대구광역시 수성구 청호로94길 57,35.85704717,128.6467643
대구광역시,수성구,범물1동,국공립,국공립월드어린이집,053-784-2487,대구광역시 수성구 범안로 79,35.81981274,128.6465456
대구광역시,수성구,범물1동,민간,사랑어린이집,053-781-8031,대구광역시 수성구 용학로 336,35.82488337,128.6440554
대구광역시,수성구,범물1동,가정,예현어린이집,053-783-5312,대구광역시 수성구 용학로 316,35.82239201,128.6424391
대구광역시,수성구,범물2동,국공립,국공립수성하늘채르레브어린이집,053-753-0011,대구광역시 수성구 지범로48길 21,35.81505916,128.6442528
대구광역시,수성구,범물2동,국공립,국공립피노키오어린이집,053-783-3377,대구광역시 수성구 지범로46길 33-4,35.81497307,128.6430175
대구광역시,수성구,범물2동,가정,아이꿈어린이집,053-782-0443,대구광역시 수성구 용학로 272,35.82017384,128.6375301
대구광역시,수성구,범어1동,국공립,국공립범어에일린의뜰어린이집,053-762-0050,대구광역시 수성구 청솔로14길 15,35.85160139,128.6223071
대구광역시,수성구,범어1동,국공립,국공립수성범어W어린이집,053-721-6296,대구광역시 수성구 달구벌대로 2436,35.85768783,128.6268209
대구광역시,수성구,범어1동,국공립,범어어린이집,053-755-7743,대구광역시 수성구 범어천로 97,35.85554329,128.6220484
대구광역시,수성구,범어2동,국공립,국공립범어숲어린이집,053-741-5079,대구광역시 수성구 동대구로 376,35.86417139,128.6277045
대구광역시,수성구,범어2동,국공립,국공립키즈하버드어린이집,053-745-7941,대구광역시 수성구 세진로3길 41-4,35.86373073,128.6378801
대구광역시,수성구,범어2동,사회복지법인,계성어린이집,053-755-2573,대구광역시 수성구 범어로 157,35.86343592,128.635245
대구광역시,수성구,범어2동,가정,미소어린이집,053-742-2467,대구광역시 수성구 범어로32길 26,35.86478054,128.6366129
대구광역시,수성구,범어2동,직장,대구검찰어린이집,053-759-9780,대구광역시 수성구 국채보상로186길 111,35.86342863,128.6343281
대구광역시,수성구,범어2동,직장,대구법원어린이집,053-742-1401,대구광역시 수성구 세진로 26,35.86167628,128.6385654
대구광역시,수성구,범어2동,직장,수성구청직장어린이집,053-751-8348,대구광역시 수성구 달구벌대로495길 26-13,35.85993252,128.6347245
대구광역시,수성구,범어3동,국공립,국공립범어센트럴푸르지오어린이집,053-753-0800,대구광역시 수성구 상록로 15,35.86069813,128.6236729
대구광역시,수성구,범어3동,국공립,국공립월드숲어린이집,053-754-9740,대구광역시 수성구 범어천로 200,35.86412366,128.6198201
대구광역시,수성구,범어3동,법인・단체등,청운어린이집,053-754-2839,대구광역시 수성구 들안로 396-22,35.86596748,128.6190845
대구광역시,수성구,범어3동,민간,다빈치어린이집,053-744-0881,대구광역시 수성구 상록로 53,35.86410762,128.623627
대구광역시,수성구,범어3동,민간,범어e편한어린이집,053-751-0790,대구광역시 수성구 들안로78길 45,35.86575901,128.621432
대구광역시,수성구,범어3동,민간,킨더리베어린이집,053-756-2553,대구광역시 수성구 동대구로77길 34-27,35.86582957,128.6244635
대구광역시,수성구,범어4동,국공립,국공립힐스테이트범어어린이집,053-755-0125,대구광역시 수성구 범어로18길 22,35.85628391,128.636516
대구광역시,수성구,범어4동,사회복지법인,덕일어린이집,053-743-0540,대구광역시 수성구 청호로92길 26,35.85539764,128.6432673
대구광역시,수성구,범어4동,법인・단체등,청수어린이집,053-753-2561,대구광역시 수성구 달구벌대로504길 20,35.85687122,128.6380218
대구광역시,수성구,상동,국공립,국공립상화어린이집,053-763-5885,대구광역시 수성구 수성로 71,35.83266053,128.6109721
대구광역시,수성구,상동,사회복지법인,사회복지법인 상동어린이집,053-762-4747,대구광역시 수성구 수성로32길 139,35.83524232,128.6126298
대구광역시,수성구,상동,민간,다온어린이집,053-766-2917,대구광역시 수성구 수성로14길 21,35.83225722,128.612356
대구광역시,수성구,상동,민간,정화우방어린이집,053-768-6262,대구광역시 수성구 수성로 135,35.83837138,128.6112638
대구광역시,수성구,수성1가동,국공립,국공립장미어린이집,053-761-7765,대구광역시 수성구 수성동1가 수성로57길 62,35.85174031,128.6098392
대구광역시,수성구,수성1가동,사회복지법인,수성어린이집,053-763-0425,대구광역시 수성구 명덕로76길 80-1,35.8510345,128.6112144
대구광역시,수성구,수성1가동,민간,금강어린이집,053-752-5959,대구광역시 수성구 수성로75길 24,35.85730161,128.612531
대구광역시,수성구,수성1가동,민간,더퍼스트어린이집,053-754-0484,대구광역시 수성구 수성동1가 수성로69길 41,35.85535849,128.6109113
대구광역시,수성구,수성1가동,민간,캐슬아이어린이집,053-743-7477,대구광역시 수성구 수성동1가 수성로69길 65,35.85604568,128.6095178
대구광역시,수성구,수성2.3가동,국공립,국공립밤비니어린이집,053-741-5563,대구광역시 수성구 수성동3가 들안로64길 61,35.85875715,128.6211159
대구광역시,수성구,수성2.3가동,국공립,국공립캐슬수성어린이집,053-744-2004,대구광역시 수성구 명덕로 455,35.85439045,128.6190948
대구광역시,수성구,수성2.3가동,민간,은초롱어린이집,053-756-5420,대구광역시 수성구 수성로74길 33,35.85690257,128.6156737
대구광역시,수성구,수성4가동,국공립,국공립수성보성어린이집,053-743-1090,대구광역시 수성구 수성로 412,35.86347242,128.6150627
대구광역시,수성구,수성4가동,민간,다예누리어린이집,053-241-0709,대구광역시 수성구 수성동4가 들안로 360,35.86282387,128.619573
대구광역시,수성구,수성4가동,민간,이편한어린이집,053-745-6663,대구광역시 수성구 수성동4가 들안로73길 50-7,35.86411917,128.6137167
대구광역시,수성구,수성4가동,가정,행복한영희어린이집,053-741-6702,대구광역시 수성구 수성로 412,35.86347242,128.6150627
대구광역시,수성구,수성4가동,직장,DGB아이꿈터어린이집,053-742-5206,대구광역시 수성구 달구벌대로 2271-5,35.86095795,128.6108994
대구광역시,수성구,중동,국공립,국공립꼬마숲어린이집,053-767-6112,대구광역시 수성구 들안로29길 42,35.84359939,128.6141964
대구광역시,수성구,중동,국공립,국공립수성골드클래스더센텀어린이집,053-751-4296,대구광역시 수성구 수성로 185,35.84290651,128.6111345
대구광역시,수성구,중동,국공립,국공립수성푸르지오리버센트어린이집,053-766-2004,대구광역시 수성구 수성로35길 50,35.84212001,128.6101236
대구광역시,수성구,중동,국공립,국공립수성효성해링턴어린이집,053-767-0079,대구광역시 수성구 희망로24길 24,35.84569581,128.6097566
대구광역시,수성구,중동,사회복지법인,윤정어린이집,053-767-2113,대구광역시 수성구 희망로 93,35.84758184,128.6088567
대구광역시,수성구,중동,사회복지법인,중동어린이집,053-767-8555,대구광역시 수성구 희망로 121,35.84742727,128.6123154
대구광역시,수성구,중동,가정,온유어린이집,053-761-9775,대구광역시 수성구 수성로39안길 13,35.84418002,128.6112161
대구광역시,수성구,지산1동,국공립,지산보리어린이집,053-781-6283,대구광역시 수성구 용학로 325,35.82407838,128.6424543
대구광역시,수성구,지산1동,사회복지법인,지산어린이집,053-784-5010,대구광역시 수성구 지산로14길 29,35.82703304,128.6356481
대구광역시,수성구,지산1동,민간,개나리어린이집,053-794-1700,대구광역시 수성구 무학로37안길 20-5,35.83323347,128.6282
대구광역시,수성구,지산1동,민간,줄리어드어린이집,053-766-3303,대구광역시 수성구 동대구로14길 90,35.83665603,128.6290537
대구광역시,수성구,지산1동,직장,대구경찰어린이집,053-719-0560,대구광역시 수성구 무학로 237,35.82875868,128.6346949
대구광역시,수성구,지산2동,국공립,국공립색동어린이집,053-784-2223,대구광역시 수성구 용학로44길 34,35.81998143,128.6337787
대구광역시,수성구,지산2동,국공립,국공립수성라크에르어린이집,053-782-4387,대구광역시 수성구 지산로3길 33,35.82274532,128.6292455
대구광역시,수성구,지산2동,사회복지법인,사회복지법인해달별어린이집,053-782-8461,대구광역시 수성구 용학로46길 22,35.81966469,128.6336364
대구광역시,수성구,지산2동,민간,한국예술어린이집,053-783-8807,대구광역시 수성구 용학로34길 8,35.82206933,128.6271095
대구광역시,수성구,지산2동,가정,지산에덴어린이집,053-219-9696,대구광역시 수성구 용학로 223,35.82114159,128.6334773
대구광역시,수성구,파동,국공립,국공립수성더팰리스1차어린이집,053-721-7638,대구광역시 수성구 파동로 190,35.82014585,128.6127181
대구광역시,수성구,파동,국공립,국공립수성더팰리스2차어린이집,053-213-6668,대구광역시 수성구 파동로 188,35.81942619,128.6130727
대구광역시,수성구,파동,국공립,국공립수성해모로어린이집,053-716-2403,대구광역시 수성구 파동로 47,35.80705891,128.6214526
대구광역시,수성구,파동,국공립,수성아이파크어린이집,053-764-4500,대구광역시 수성구 파동로22길 15,35.81327308,128.6179571
대구광역시,수성구,파동,사회복지법인,별하나어린이집,053-764-8686,대구광역시 수성구 파동로51길 64,35.82327945,128.6086938
대구광역시,수성구,파동,사회복지법인,키즈브라운어린이집,053-768-5789,대구광역시 수성구 파동로38길 45-3,35.81887606,128.6146417
대구광역시,수성구,파동,민간,하늘채어린이집,053-621-1616,대구광역시 수성구 파동로 222,35.82255508,128.6117226
대구광역시,수성구,파동,직장,글로벌아이어린이집,053-767-0411,대구광역시 수성구 파동로18안길 24,35.81235962,128.619255
대구광역시,수성구,황금1동,국공립,국공립물망이어린이집,053-761-6008,대구광역시 수성구 청수로 213,35.83951263,128.6295145
대구광역시,수성구,황금1동,국공립,국공립아이맘어린이집,053-766-8330,대구광역시 수성구 청수로 214,35.83971745,128.6337221
대구광역시,수성구,황금1동,국공립,국공립캐슬꿈밭어린이집,053-768-7942,대구광역시 수성구 청수로 257,35.84133833,128.6347712
대구광역시,수성구,황금1동,국공립,국공립캐슬우주어린이집,053-766-1219,대구광역시 수성구 청수로 261,35.84183557,128.6365334
대구광역시,수성구,황금1동,국공립,국공립힐스테이트어린이집,053-767-3212,대구광역시 수성구 청수로 274,35.83976809,128.6375507
대구광역시,수성구,황금1동,사회복지법인,삼덕어린이집,053-762-7567,대구광역시 수성구 청호로46길 5-2,35.83869718,128.6408908
대구광역시,수성구,황금1동,가정,코코어린이집,053-765-3113,대구광역시 수성구 청수로 214,35.83971745,128.6337221
대구광역시,수성구,황금2동,국공립,국공립해맑은어린이집,053-768-9955,대구광역시 수성구 들안로32길 17,35.84454926,128.6178739
대구광역시,수성구,황금2동,국공립,국공립힐스테이트엘포레어린이집,053-767-5757,대구광역시 수성구 청솔로 16,35.84827312,128.6207443
대구광역시,수성구,황금2동,민간,꼬꼬마어린이집,053-768-6767,대구광역시 수성구 희망로 176-2,35.84637132,128.6179057
대구광역시,수성구,황금2동,민간,아이뜰어린이집,053-764-5902,대구광역시 수성구 희망로36길 122-23,35.84485521,128.621723
